date,precinct,accident_count
2020-01-01,CENTRA,3
2020-01-01,EAST,3
2020-01-01,HERMIT,11
2020-01-01,MADISO,4
2020-01-01,MIDTOW,3
2020-01-01,NORTH,4
2020-01-01,SOUTH,12
2020-01-01,WEST,4
2020-01-02,CENTRA,7
2020-01-02,EAST,8
2020-01-02,HERMIT,15
2020-01-02,MADISO,14
2020-01-02,MIDTOW,16
2020-01-02,NORTH,13
2020-01-02,SOUTH,29
2020-01-02,WEST,15
2020-01-03,CENTRA,9
2020-01-03,EAST,20
2020-01-03,HERMIT,29
2020-01-03,MADISO,11
2020-01-03,MIDTOW,9
2020-01-03,NORTH,13
2020-01-03,SOUTH,24
2020-01-03,WEST,12
2020-01-04,CENTRA,4
2020-01-04,EAST,4
2020-01-04,HERMIT,10
2020-01-04,MADISO,5
2020-01-04,MIDTOW,11
2020-01-04,NORTH,4
2020-01-04,SOUTH,15
2020-01-04,WEST,2
2020-01-05,CENTRA,1
2020-01-05,EAST,7
2020-01-05,HERMIT,13
2020-01-05,MADISO,3
2020-01-05,MIDTOW,5
2020-01-05,SOUTH,7
2020-01-05,WEST,5
2020-01-06,CENTRA,7
2020-01-06,EAST,13
2020-01-06,HERMIT,9
2020-01-06,MADISO,6
2020-01-06,MIDTOW,11
2020-01-06,NORTH,11
2020-01-06,SOUTH,20
2020-01-06,WEST,9
2020-01-07,CENTRA,13
2020-01-07,EAST,4
2020-01-07,HERMIT,19
2020-01-07,MADISO,7
2020-01-07,MIDTOW,25
2020-01-07,NORTH,10
2020-01-07,SOUTH,23
2020-01-07,WEST,9
2020-01-08,CENTRA,7
2020-01-08,EAST,7
2020-01-08,HERMIT,10
2020-01-08,MADISO,8
2020-01-08,MIDTOW,19
2020-01-08,NORTH,8
2020-01-08,SOUTH,16
2020-01-08,WEST,9
2020-01-09,CENTRA,9
2020-01-09,EAST,7
2020-01-09,HERMIT,15
2020-01-09,MADISO,6
2020-01-09,MIDTOW,16
2020-01-09,NORTH,9
2020-01-09,SOUTH,20
2020-01-09,WEST,12
2020-01-10,CENTRA,11
2020-01-10,EAST,11
2020-01-10,HERMIT,12
2020-01-10,MADISO,9
2020-01-10,MIDTOW,16
2020-01-10,NORTH,11
2020-01-10,SOUTH,21
2020-01-10,WEST,9
2020-01-11,CENTRA,10
2020-01-11,EAST,8
2020-01-11,HERMIT,13
2020-01-11,MADISO,12
2020-01-11,MIDTOW,13
2020-01-11,NORTH,9
2020-01-11,SOUTH,19
2020-01-11,WEST,11
2020-01-12,CENTRA,4
2020-01-12,EAST,5
2020-01-12,HERMIT,9
2020-01-12,MADISO,5
2020-01-12,MIDTOW,9
2020-01-12,NORTH,7
2020-01-12,SOUTH,12
2020-01-12,WEST,5
2020-01-13,CENTRA,3
2020-01-13,EAST,9
2020-01-13,HERMIT,14
2020-01-13,MADISO,6
2020-01-13,MIDTOW,7
2020-01-13,NORTH,5
2020-01-13,SOUTH,22
2020-01-13,WEST,10
2020-01-14,CENTRA,10
2020-01-14,EAST,12
2020-01-14,HERMIT,16
2020-01-14,MADISO,6
2020-01-14,MIDTOW,24
2020-01-14,NORTH,7
2020-01-14,SOUTH,18
2020-01-14,WEST,9
2020-01-15,CENTRA,7
2020-01-15,EAST,7
2020-01-15,HERMIT,15
2020-01-15,MADISO,10
2020-01-15,MIDTOW,19
2020-01-15,NORTH,10
2020-01-15,SOUTH,17
2020-01-15,WEST,15
2020-01-16,CENTRA,6
2020-01-16,EAST,7
2020-01-16,HERMIT,17
2020-01-16,MADISO,10
2020-01-16,MIDTOW,15
2020-01-16,NORTH,9
2020-01-16,SOUTH,18
2020-01-16,WEST,7
2020-01-17,CENTRA,13
2020-01-17,EAST,12
2020-01-17,HERMIT,13
2020-01-17,MADISO,10
2020-01-17,MIDTOW,9
2020-01-17,NORTH,11
2020-01-17,SOUTH,16
2020-01-17,WEST,2
2020-01-18,CENTRA,13
2020-01-18,EAST,8
2020-01-18,HERMIT,12
2020-01-18,MADISO,7
2020-01-18,MIDTOW,11
2020-01-18,NORTH,9
2020-01-18,SOUTH,18
2020-01-18,WEST,6
2020-01-19,CENTRA,11
2020-01-19,EAST,1
2020-01-19,HERMIT,9
2020-01-19,MADISO,6
2020-01-19,MIDTOW,12
2020-01-19,NORTH,6
2020-01-19,SOUTH,11
2020-01-19,WEST,4
2020-01-20,EAST,6
2020-01-20,HERMIT,8
2020-01-20,MADISO,3
2020-01-20,MIDTOW,9
2020-01-20,NORTH,9
2020-01-20,SOUTH,12
2020-01-20,WEST,5
2020-01-21,CENTRA,9
2020-01-21,EAST,9
2020-01-21,HERMIT,18
2020-01-21,MADISO,4
2020-01-21,MIDTOW,12
2020-01-21,NORTH,11
2020-01-21,SOUTH,20
2020-01-21,WEST,6
2020-01-22,CENTRA,9
2020-01-22,EAST,1
2020-01-22,HERMIT,17
2020-01-22,MADISO,4
2020-01-22,MIDTOW,26
2020-01-22,NORTH,20
2020-01-22,SOUTH,26
2020-01-22,WEST,5
2020-01-23,CENTRA,13
2020-01-23,EAST,14
2020-01-23,HERMIT,23
2020-01-23,MADISO,7
2020-01-23,MIDTOW,21
2020-01-23,NORTH,15
2020-01-23,SOUTH,31
2020-01-23,WEST,15
2020-01-24,CENTRA,11
2020-01-24,EAST,11
2020-01-24,HERMIT,20
2020-01-24,MADISO,5
2020-01-24,MIDTOW,15
2020-01-24,NORTH,13
2020-01-24,SOUTH,32
2020-01-24,WEST,16
2020-01-25,CENTRA,5
2020-01-25,EAST,4
2020-01-25,HERMIT,9
2020-01-25,MADISO,7
2020-01-25,MIDTOW,3
2020-01-25,NORTH,5
2020-01-25,SOUTH,21
2020-01-25,WEST,5
2020-01-26,CENTRA,4
2020-01-26,EAST,5
2020-01-26,HERMIT,6
2020-01-26,MIDTOW,5
2020-01-26,NORTH,9
2020-01-26,SOUTH,16
2020-01-26,WEST,6
2020-01-27,CENTRA,12
2020-01-27,EAST,5
2020-01-27,HERMIT,16
2020-01-27,MADISO,12
2020-01-27,MIDTOW,16
2020-01-27,NORTH,9
2020-01-27,SOUTH,21
2020-01-27,WEST,8
2020-01-28,CENTRA,4
2020-01-28,EAST,11
2020-01-28,HERMIT,19
2020-01-28,MADISO,7
2020-01-28,MIDTOW,19
2020-01-28,NORTH,7
2020-01-28,SOUTH,11
2020-01-28,WEST,5
2020-01-29,CENTRA,10
2020-01-29,EAST,11
2020-01-29,HERMIT,15
2020-01-29,MADISO,8
2020-01-29,MIDTOW,13
2020-01-29,NORTH,9
2020-01-29,SOUTH,23
2020-01-29,WEST,13
2020-01-30,CENTRA,6
2020-01-30,EAST,9
2020-01-30,HERMIT,17
2020-01-30,MADISO,12
2020-01-30,MIDTOW,20
2020-01-30,NORTH,10
2020-01-30,SOUTH,17
2020-01-30,WEST,7
2020-01-31,CENTRA,11
2020-01-31,EAST,13
2020-01-31,HERMIT,18
2020-01-31,MADISO,8
2020-01-31,MIDTOW,11
2020-01-31,NORTH,14
2020-01-31,SOUTH,34
2020-01-31,WEST,5
2020-02-01,CENTRA,7
2020-02-01,EAST,5
2020-02-01,HERMIT,9
2020-02-01,MADISO,5
2020-02-01,MIDTOW,15
2020-02-01,NORTH,6
2020-02-01,SOUTH,19
2020-02-01,WEST,5
2020-02-02,CENTRA,3
2020-02-02,EAST,3
2020-02-02,HERMIT,9
2020-02-02,MADISO,7
2020-02-02,MIDTOW,8
2020-02-02,NORTH,9
2020-02-02,SOUTH,20
2020-02-02,WEST,3
2020-02-03,CENTRA,9
2020-02-03,EAST,11
2020-02-03,HERMIT,11
2020-02-03,MADISO,9
2020-02-03,MIDTOW,10
2020-02-03,NORTH,15
2020-02-03,SOUTH,17
2020-02-03,WEST,9
2020-02-04,CENTRA,12
2020-02-04,EAST,13
2020-02-04,HERMIT,24
2020-02-04,MADISO,16
2020-02-04,MIDTOW,24
2020-02-04,NORTH,14
2020-02-04,SOUTH,25
2020-02-04,WEST,7
2020-02-05,CENTRA,7
2020-02-05,EAST,7
2020-02-05,HERMIT,23
2020-02-05,MADISO,7
2020-02-05,MIDTOW,13
2020-02-05,NORTH,11
2020-02-05,SOUTH,30
2020-02-05,WEST,14
2020-02-06,CENTRA,10
2020-02-06,EAST,9
2020-02-06,HERMIT,19
2020-02-06,MADISO,9
2020-02-06,MIDTOW,17
2020-02-06,NORTH,11
2020-02-06,SOUTH,23
2020-02-06,WEST,10
2020-02-07,CENTRA,9
2020-02-07,EAST,8
2020-02-07,HERMIT,14
2020-02-07,MADISO,10
2020-02-07,MIDTOW,16
2020-02-07,NORTH,10
2020-02-07,SOUTH,18
2020-02-07,WEST,7
2020-02-08,CENTRA,4
2020-02-08,EAST,3
2020-02-08,HERMIT,12
2020-02-08,MADISO,7
2020-02-08,MIDTOW,6
2020-02-08,NORTH,7
2020-02-08,SOUTH,10
2020-02-08,WEST,7
2020-02-09,CENTRA,2
2020-02-09,EAST,5
2020-02-09,HERMIT,6
2020-02-09,MADISO,4
2020-02-09,MIDTOW,9
2020-02-09,NORTH,7
2020-02-09,SOUTH,18
2020-02-09,WEST,1
2020-02-10,CENTRA,5
2020-02-10,EAST,8
2020-02-10,HERMIT,13
2020-02-10,MADISO,3
2020-02-10,MIDTOW,22
2020-02-10,NORTH,14
2020-02-10,SOUTH,23
2020-02-10,WEST,11
2020-02-11,CENTRA,6
2020-02-11,EAST,12
2020-02-11,HERMIT,16
2020-02-11,MADISO,9
2020-02-11,MIDTOW,15
2020-02-11,NORTH,15
2020-02-11,SOUTH,18
2020-02-11,WEST,11
2020-02-12,CENTRA,12
2020-02-12,EAST,13
2020-02-12,HERMIT,25
2020-02-12,MADISO,5
2020-02-12,MIDTOW,12
2020-02-12,NORTH,11
2020-02-12,SOUTH,22
2020-02-12,WEST,12
2020-02-13,CENTRA,9
2020-02-13,EAST,10
2020-02-13,HERMIT,13
2020-02-13,MADISO,9
2020-02-13,MIDTOW,11
2020-02-13,NORTH,10
2020-02-13,SOUTH,26
2020-02-13,WEST,7
2020-02-14,CENTRA,18
2020-02-14,EAST,14
2020-02-14,HERMIT,28
2020-02-14,MADISO,13
2020-02-14,MIDTOW,18
2020-02-14,NORTH,10
2020-02-14,SOUTH,28
2020-02-14,WEST,8
2020-02-15,CENTRA,5
2020-02-15,EAST,7
2020-02-15,HERMIT,13
2020-02-15,MADISO,8
2020-02-15,MIDTOW,11
2020-02-15,NORTH,9
2020-02-15,SOUTH,17
2020-02-15,WEST,4
2020-02-16,CENTRA,3
2020-02-16,EAST,8
2020-02-16,HERMIT,11
2020-02-16,MADISO,8
2020-02-16,MIDTOW,6
2020-02-16,NORTH,5
2020-02-16,SOUTH,18
2020-02-16,WEST,8
2020-02-17,CENTRA,7
2020-02-17,EAST,8
2020-02-17,HERMIT,10
2020-02-17,MADISO,9
2020-02-17,MIDTOW,12
2020-02-17,NORTH,8
2020-02-17,SOUTH,18
2020-02-17,WEST,9
2020-02-18,CENTRA,11
2020-02-18,EAST,12
2020-02-18,HERMIT,18
2020-02-18,MADISO,9
2020-02-18,MIDTOW,17
2020-02-18,NORTH,12
2020-02-18,SOUTH,24
2020-02-18,WEST,8
2020-02-19,CENTRA,7
2020-02-19,EAST,2
2020-02-19,HERMIT,17
2020-02-19,MADISO,1
2020-02-19,MIDTOW,16
2020-02-19,NORTH,6
2020-02-19,SOUTH,13
2020-02-19,WEST,8
2020-02-20,CENTRA,5
2020-02-20,EAST,10
2020-02-20,HERMIT,14
2020-02-20,MADISO,13
2020-02-20,MIDTOW,15
2020-02-20,NORTH,5
2020-02-20,SOUTH,19
2020-02-20,WEST,10
2020-02-21,CENTRA,13
2020-02-21,EAST,14
2020-02-21,HERMIT,16
2020-02-21,MADISO,9
2020-02-21,MIDTOW,18
2020-02-21,NORTH,11
2020-02-21,SOUTH,24
2020-02-21,WEST,9
2020-02-22,CENTRA,9
2020-02-22,EAST,6
2020-02-22,HERMIT,11
2020-02-22,MADISO,10
2020-02-22,MIDTOW,7
2020-02-22,NORTH,9
2020-02-22,SOUTH,20
2020-02-22,WEST,9
2020-02-23,CENTRA,9
2020-02-23,EAST,6
2020-02-23,HERMIT,6
2020-02-23,MADISO,12
2020-02-23,MIDTOW,9
2020-02-23,NORTH,4
2020-02-23,SOUTH,18
2020-02-23,WEST,7
2020-02-24,CENTRA,5
2020-02-24,EAST,8
2020-02-24,HERMIT,11
2020-02-24,MADISO,5
2020-02-24,MIDTOW,14
2020-02-24,NORTH,12
2020-02-24,SOUTH,19
2020-02-24,WEST,13
2020-02-25,CENTRA,7
2020-02-25,EAST,5
2020-02-25,HERMIT,8
2020-02-25,MADISO,3
2020-02-25,MIDTOW,12
2020-02-25,NORTH,9
2020-02-25,SOUTH,12
2020-02-25,WEST,7
2020-02-26,CENTRA,10
2020-02-26,EAST,7
2020-02-26,HERMIT,13
2020-02-26,MADISO,9
2020-02-26,MIDTOW,12
2020-02-26,NORTH,2
2020-02-26,SOUTH,25
2020-02-26,WEST,11
2020-02-27,CENTRA,13
2020-02-27,EAST,9
2020-02-27,HERMIT,25
2020-02-27,MADISO,5
2020-02-27,MIDTOW,12
2020-02-27,NORTH,13
2020-02-27,SOUTH,17
2020-02-27,WEST,10
2020-02-28,CENTRA,11
2020-02-28,EAST,14
2020-02-28,HERMIT,28
2020-02-28,MADISO,4
2020-02-28,MIDTOW,25
2020-02-28,NORTH,13
2020-02-28,SOUTH,33
2020-02-28,WEST,14
2020-02-29,CENTRA,5
2020-02-29,EAST,7
2020-02-29,HERMIT,20
2020-02-29,MADISO,8
2020-02-29,MIDTOW,9
2020-02-29,NORTH,14
2020-02-29,SOUTH,21
2020-02-29,WEST,10
2020-03-01,CENTRA,4
2020-03-01,EAST,7
2020-03-01,HERMIT,14
2020-03-01,MADISO,7
2020-03-01,MIDTOW,8
2020-03-01,NORTH,3
2020-03-01,SOUTH,16
2020-03-01,WEST,6
2020-03-02,CENTRA,9
2020-03-02,EAST,7
2020-03-02,HERMIT,22
2020-03-02,MADISO,8
2020-03-02,MIDTOW,15
2020-03-02,NORTH,9
2020-03-02,SOUTH,19
2020-03-02,WEST,7
2020-03-03,CENTRA,4
2020-03-03,EAST,15
2020-03-03,HERMIT,16
2020-03-03,MADISO,8
2020-03-03,MIDTOW,7
2020-03-03,NORTH,19
2020-03-03,SOUTH,17
2020-03-03,WEST,11
2020-03-04,CENTRA,7
2020-03-04,EAST,8
2020-03-04,HERMIT,21
2020-03-04,MADISO,10
2020-03-04,MIDTOW,8
2020-03-04,NORTH,11
2020-03-04,SOUTH,18
2020-03-04,WEST,8
2020-03-05,CENTRA,12
2020-03-05,EAST,12
2020-03-05,HERMIT,22
2020-03-05,MADISO,6
2020-03-05,MIDTOW,20
2020-03-05,NORTH,14
2020-03-05,SOUTH,13
2020-03-05,WEST,11
2020-03-06,CENTRA,4
2020-03-06,EAST,12
2020-03-06,HERMIT,21
2020-03-06,MADISO,11
2020-03-06,MIDTOW,19
2020-03-06,NORTH,18
2020-03-06,SOUTH,25
2020-03-06,WEST,12
2020-03-07,CENTRA,7
2020-03-07,EAST,10
2020-03-07,HERMIT,14
2020-03-07,MADISO,7
2020-03-07,MIDTOW,14
2020-03-07,NORTH,8
2020-03-07,SOUTH,19
2020-03-07,WEST,10
2020-03-08,CENTRA,9
2020-03-08,EAST,9
2020-03-08,HERMIT,10
2020-03-08,MADISO,8
2020-03-08,MIDTOW,7
2020-03-08,NORTH,6
2020-03-08,SOUTH,26
2020-03-08,WEST,6
2020-03-09,CENTRA,9
2020-03-09,EAST,12
2020-03-09,HERMIT,14
2020-03-09,MADISO,8
2020-03-09,MIDTOW,3
2020-03-09,NORTH,9
2020-03-09,SOUTH,16
2020-03-09,WEST,13
2020-03-10,CENTRA,10
2020-03-10,EAST,8
2020-03-10,HERMIT,23
2020-03-10,MADISO,9
2020-03-10,MIDTOW,25
2020-03-10,NORTH,13
2020-03-10,SOUTH,29
2020-03-10,WEST,7
2020-03-11,CENTRA,16
2020-03-11,EAST,4
2020-03-11,HERMIT,11
2020-03-11,MADISO,3
2020-03-11,MIDTOW,16
2020-03-11,NORTH,14
2020-03-11,SOUTH,20
2020-03-11,WEST,10
2020-03-12,CENTRA,5
2020-03-12,EAST,6
2020-03-12,HERMIT,10
2020-03-12,MADISO,8
2020-03-12,MIDTOW,6
2020-03-12,NORTH,11
2020-03-12,SOUTH,15
2020-03-12,WEST,5
2020-03-13,CENTRA,3
2020-03-13,EAST,6
2020-03-13,HERMIT,11
2020-03-13,MADISO,6
2020-03-13,MIDTOW,14
2020-03-13,NORTH,15
2020-03-13,SOUTH,12
2020-03-13,WEST,7
2020-03-14,CENTRA,10
2020-03-14,EAST,8
2020-03-14,HERMIT,15
2020-03-14,MADISO,8
2020-03-14,MIDTOW,12
2020-03-14,NORTH,7
2020-03-14,SOUTH,16
2020-03-14,WEST,4
2020-03-15,CENTRA,2
2020-03-15,EAST,3
2020-03-15,HERMIT,8
2020-03-15,MADISO,3
2020-03-15,MIDTOW,7
2020-03-15,NORTH,4
2020-03-15,SOUTH,14
2020-03-15,WEST,9
2020-03-16,CENTRA,3
2020-03-16,EAST,8
2020-03-16,HERMIT,16
2020-03-16,MADISO,2
2020-03-16,MIDTOW,5
2020-03-16,NORTH,5
2020-03-16,SOUTH,14
2020-03-16,WEST,5
2020-03-17,CENTRA,6
2020-03-17,EAST,4
2020-03-17,HERMIT,4
2020-03-17,MADISO,6
2020-03-17,MIDTOW,7
2020-03-17,NORTH,4
2020-03-17,SOUTH,22
2020-03-17,WEST,3
2020-03-18,CENTRA,6
2020-03-18,EAST,8
2020-03-18,HERMIT,11
2020-03-18,MADISO,6
2020-03-18,MIDTOW,5
2020-03-18,NORTH,7
2020-03-18,SOUTH,18
2020-03-18,WEST,5
2020-03-19,CENTRA,7
2020-03-19,EAST,6
2020-03-19,HERMIT,7
2020-03-19,MADISO,3
2020-03-19,MIDTOW,3
2020-03-19,NORTH,11
2020-03-19,SOUTH,8
2020-03-19,WEST,5
2020-03-20,CENTRA,3
2020-03-20,EAST,6
2020-03-20,HERMIT,7
2020-03-20,MADISO,13
2020-03-20,MIDTOW,7
2020-03-20,NORTH,12
2020-03-20,SOUTH,8
2020-03-20,WEST,11
2020-03-21,CENTRA,3
2020-03-21,EAST,4
2020-03-21,HERMIT,1
2020-03-21,MADISO,4
2020-03-21,MIDTOW,4
2020-03-21,NORTH,4
2020-03-21,SOUTH,15
2020-03-21,WEST,8
2020-03-22,CENTRA,1
2020-03-22,EAST,6
2020-03-22,HERMIT,13
2020-03-22,MADISO,3
2020-03-22,MIDTOW,4
2020-03-22,NORTH,4
2020-03-22,SOUTH,8
2020-03-22,WEST,1
2020-03-23,CENTRA,5
2020-03-23,EAST,5
2020-03-23,HERMIT,6
2020-03-23,MADISO,1
2020-03-23,MIDTOW,3
2020-03-23,NORTH,5
2020-03-23,SOUTH,7
2020-03-23,WEST,1
2020-03-24,CENTRA,3
2020-03-24,EAST,8
2020-03-24,HERMIT,12
2020-03-24,MADISO,8
2020-03-24,MIDTOW,5
2020-03-24,NORTH,11
2020-03-24,SOUTH,9
2020-03-24,WEST,4
2020-03-25,CENTRA,1
2020-03-25,EAST,6
2020-03-25,HERMIT,10
2020-03-25,MADISO,6
2020-03-25,NORTH,2
2020-03-25,SOUTH,7
2020-03-25,WEST,2
2020-03-26,CENTRA,2
2020-03-26,EAST,2
2020-03-26,HERMIT,3
2020-03-26,MADISO,5
2020-03-26,MIDTOW,2
2020-03-26,NORTH,2
2020-03-26,SOUTH,12
2020-03-27,CENTRA,4
2020-03-27,EAST,8
2020-03-27,HERMIT,6
2020-03-27,MADISO,6
2020-03-27,MIDTOW,6
2020-03-27,NORTH,4
2020-03-27,SOUTH,13
2020-03-27,WEST,5
2020-03-28,CENTRA,1
2020-03-28,EAST,2
2020-03-28,HERMIT,6
2020-03-28,MADISO,3
2020-03-28,MIDTOW,4
2020-03-28,NORTH,5
2020-03-28,SOUTH,6
2020-03-28,WEST,2
2020-03-29,EAST,2
2020-03-29,HERMIT,6
2020-03-29,MADISO,6
2020-03-29,MIDTOW,2
2020-03-29,NORTH,5
2020-03-29,SOUTH,14
2020-03-29,WEST,1
2020-03-30,EAST,3
2020-03-30,HERMIT,1
2020-03-30,MADISO,2
2020-03-30,MIDTOW,2
2020-03-30,NORTH,2
2020-03-30,SOUTH,5
2020-03-30,WEST,4
2020-03-31,CENTRA,2
2020-03-31,EAST,4
2020-03-31,HERMIT,14
2020-03-31,MADISO,6
2020-03-31,MIDTOW,5
2020-03-31,NORTH,8
2020-03-31,SOUTH,7
2020-03-31,WEST,6
2020-04-01,CENTRA,2
2020-04-01,EAST,2
2020-04-01,HERMIT,3
2020-04-01,MADISO,6
2020-04-01,MIDTOW,3
2020-04-01,NORTH,3
2020-04-01,SOUTH,11
2020-04-01,WEST,5
2020-04-02,EAST,3
2020-04-02,HERMIT,8
2020-04-02,MADISO,1
2020-04-02,MIDTOW,2
2020-04-02,NORTH,4
2020-04-02,SOUTH,8
2020-04-02,WEST,6
2020-04-03,CENTRA,1
2020-04-03,EAST,2
2020-04-03,HERMIT,9
2020-04-03,MADISO,2
2020-04-03,MIDTOW,3
2020-04-03,NORTH,9
2020-04-03,SOUTH,10
2020-04-03,WEST,4
2020-04-04,CENTRA,3
2020-04-04,EAST,3
2020-04-04,HERMIT,7
2020-04-04,MADISO,3
2020-04-04,MIDTOW,5
2020-04-04,NORTH,5
2020-04-04,SOUTH,12
2020-04-05,EAST,4
2020-04-05,HERMIT,4
2020-04-05,MADISO,2
2020-04-05,NORTH,4
2020-04-05,SOUTH,10
2020-04-06,CENTRA,1
2020-04-06,EAST,1
2020-04-06,HERMIT,2
2020-04-06,MADISO,5
2020-04-06,MIDTOW,5
2020-04-06,NORTH,4
2020-04-06,SOUTH,11
2020-04-06,WEST,3
2020-04-07,CENTRA,1
2020-04-07,EAST,2
2020-04-07,HERMIT,8
2020-04-07,MADISO,4
2020-04-07,MIDTOW,3
2020-04-07,NORTH,9
2020-04-07,SOUTH,1
2020-04-07,WEST,2
2020-04-08,CENTRA,2
2020-04-08,EAST,3
2020-04-08,HERMIT,11
2020-04-08,MADISO,7
2020-04-08,MIDTOW,4
2020-04-08,NORTH,4
2020-04-08,SOUTH,11
2020-04-08,WEST,3
2020-04-09,CENTRA,2
2020-04-09,EAST,1
2020-04-09,HERMIT,6
2020-04-09,MADISO,3
2020-04-09,MIDTOW,3
2020-04-09,NORTH,5
2020-04-09,SOUTH,11
2020-04-09,WEST,9
2020-04-10,CENTRA,5
2020-04-10,EAST,3
2020-04-10,HERMIT,2
2020-04-10,MADISO,4
